Level,Card,Image,Upright,Reversed,Drawn,
('Major','The World',,'fulfillment, harmony, completion','incompletion, no closure'),
('Minor','Page of Cups',,'happy surprise, dreamer, sensitivity','emotional immaturity, insecurity, disappointment'),
('Minor','Ten of Cups',,'inner happiness, fulfillment, dreams coming true','shattered dreams, broken family, domestic disharmony'),
('Minor','Nine of Cups',,'satisfaction, emotional stability, luxury','lack of inner joy, smugness, dissatisfaction'),
('Minor','Eight of Cups',,'walking away, disillusionment, leaving behind','avoidance, fear of change, fear of loss'),
('Minor','Seven of Cups',,'searching for purpose, choices, daydreaming','lack of purpose, diversion, confusion'),
('Minor','Six of Cups',,'familiarity, happy memories, healing','moving forward, leaving home, independence'),
('Minor','Five of Cups',,'loss, grief, self-pity','acceptance, moving on, finding peace'),
('Minor','Four of Cups',,'apathy, contemplation, disconnectedness','sudden awareness, choosing happiness, acceptance'),
('Minor','Three of Cups',,'friendship, community, happiness','overindulgence, gossip, isolation'),
('Minor','Two of Cups',,'unity, partnership, connection','imbalance, broken communication, tension'),
('Minor','Ace of Cups',,'new feelings, spirituality, intuition','emotional loss, blocked creativity, emptiness'),
('Minor','King of Swords',,'head over heart, discipline, truth','manipulative, cruel, weakness'),
('Minor','Knight of Swords',,'action, impulsiveness, defending beliefs','no direction, disregard for consequences, unpredictability'),
('Minor','Queen of Swords',,'complexity, perceptiveness, clear mindedness','cold hearted, cruel, bitterness'),
('Minor','Page of Swords',,'curiosity, restlessness, mental energy','deception, manipulation, all talk'),
('Minor','Ten of Swords',,'failure, collapse, defeat','can''t get worse, only upwards, inevitable end'),
('Minor','Nine of Swords',,'anxiety, hopelessness, trauma','hope, reaching out, despair'),
('Minor','Eight of Swords',,'imprisonment, entrapment, self-victimization', 'self acceptance, new perspective, freedom'),
('Minor','Seven of Swords',,'deception, trickery, tactics and strategy','coming clean, rethinking approach, deception'),
('Minor','Six of Swords',,'transition, leaving behind, moving on','emotional baggage, unresolved issues, resisting transition'),
('Minor','Five of Swords',,'unbridled ambition, win at all costs, sneakiness','lingering resentment, desire to reconcile, forgiveness'),
('Minor','Three of Swords',,'heartbreak, suffering, grief','recovery, forgiveness, moving on'),
('Minor','Four of Swords',,'rest, restoration, contemplation','restlessness, burnout, stress'),
('Minor','Two of Swords',,'difficult choices, indecision, stalemate','lesser of two evils, no right choice, confusion'),
('Minor','Ace of Swords',,'breakthrough, clarity, sharp mind','confusion, brutality, chaos'),
('Minor','King of Pentacles',,'abundance, prosperity, security','greed, indulgence, sensuality'),
('Minor','Queen of Pentacles',,'practicality, creature comforts, financial security','self-centeredness, jealousy, smothering'),
('Minor','Knight of Pentacles',,'efficiency, hard work, responsibility','laziness, obsessiveness, work without reward'),
('Minor','Page of Pentacles',,'ambition, desire, diligence','lack of commitment, greediness, laziness'),
('Minor','Ten of Pentacles',,'legacy, culmination, inheritance','fleeting success, lack of stability, lack of resources'),
('Minor','Nine of Pentacles',,'fruits of labor, rewards, luxury','reckless spending, living beyond means, false success'),
('Minor','Eight of Pentacles',,'apprenticeship, passion, high standards','lack of passion, uninspired, no motivation'),
('Minor','Seven of Pentacles',,'hard work, perseverance, diligence','work without results, distractions, lack of rewards'),
('Minor','Six of Pentacles',,'charity, generosity, sharing','strings attached, stinginess, power and domination'),
('Minor','Five of Pentacles',,'need, poverty, insecurity','recovery, charity, improvement'),
('Minor','Four of Pentacles',,'conservation, frugality, security','greediness, stinginess, possessiveness'),
('Minor','Three of Pentacles',,'teamwork, collaboration, building','lack of teamwork, disorganized, group conflict'),
('Minor','Two of Pentacles',,'balancing decisions, priorities, adapting to change','loss of balance, disorganized, overwhelmed'),
('Minor','Ace of Pentacles',,'opportunity, prosperity, new venture','lost opportunity, missed chance, bad investment')
